date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,industrial_scope2
2021-01-15,2235.261291798714,2089.349,,145.626,541.833,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-16,2245.8782917987137,2120.054,,125.538,544.265,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-17,2101.8402917987137,2101.554,,0.0,546.954,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-18,2190.5412917987137,2116.539,,73.716,561.665,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-19,2346.5072917987136,2191.725,,154.496,554.531,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-20,2255.700291798714,2225.645,,29.769,548.029,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-21,2381.874291798714,2262.548,,119.04,531.165,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-22,2355.3802917987136,2244.938,,110.156,530.696,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-23,2344.9012917987134,2213.383,,131.232,534.883,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-24,2271.9402917987136,2141.176,,130.478,530.186,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-25,2294.5792917987137,2160.676,,133.617,529.525,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-26,2226.461291798714,2090.622,,135.553,534.357,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-27,2257.662291798714,2145.606,,111.77,529.68,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-28,2301.4662917987134,2179.33,,121.85,533.285,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-29,2325.6772917987137,2209.509,,115.882,530.422,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-30,2341.9312917987136,2210.79,,130.855,530.399,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-31,2263.028291798714,2146.66,,116.082,530.112,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-01,2266.1462917987137,2163.506,,102.354,528.372,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-02,2316.624291798714,2185.051,,131.287,529.804,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-03,2319.917291798714,2190.472,,129.159,528.463,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-04,2148.2752917987136,2146.644,,1.345,528.321,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-05,2289.7802917987137,2149.048,,140.446,528.637,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-06,2249.1472917987135,2132.252,,116.609,528.01,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-07,2187.419291798714,2078.077,,109.056,530.857,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-08,2230.4292917987136,2112.329,,117.814,526.333,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-09,2166.4812917987138,2166.195,,0.0,527.401,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-10,2347.1502917987136,2211.459,,135.405,529.432,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-11,2350.589291798714,2218.532,,131.771,529.827,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-12,2212.1372917987137,2208.502,,3.349,529.478,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-13,2201.028291798714,2200.742,,0.0,529.677,0.2862917987137781,,Ujjain,0.115719087359395
2021-02-14,2286.3662917987135,2143.639,,142.441,529.302,0.2862917987137781,,Ujjain,0.115719087359395
